underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Царицыно,Бакинская ,11,16,36.0,1,https://www.cian.ru/rent/flat/317620423/,55.6255601,37.6564181,939.8794679889792,58553.0,36.0,0,44999.999999999985
Ховрино,Ижорская ,21,33,60.0,2,https://www.cian.ru/rent/flat/317603970/,55.8818016,37.5023699,1297.680527141441,71608.0,30.0,0,79999.99999999994
Перерва,Люблинская ,23,25,42.0,1,https://www.cian.ru/rent/flat/317604887/,55.6606923,37.7329844,1107.9380527116411,62600.0,42.0,0,60000.00000000002
Новые Черёмушки, Наметкина,9,16,58.0,2,https://www.cian.ru/rent/flat/317581683/,55.6649592,37.5529122,590.9518985910481,95015.0,29.0,0,69999.99999999994
Сходненская,Парусный проезд,4,5,57.0,3,https://www.cian.ru/rent/flat/317619886/,55.8465352,37.448424,707.354183768513,66085.0,19.0,0,74999.99999999996
Москва-Товарная,шоссе Энтузиастов,11,12,98.0,3,https://www.cian.ru/rent/flat/317621559/,55.7481404,37.6886328,405.1733413137314,99903.0,32.666666666666664,1,159999.9999999999
Гражданская,Кочновский проезд,27,34,102.0,3,https://www.cian.ru/rent/flat/317599464/,55.8065607,37.5426613,927.674386996354,175527.0,34.0,1,149999.99999999994
Достоевская, Дурова,3,9,35.0,1,https://www.cian.ru/rent/flat/317613341/,55.7806988,37.6203527,344.5151363062287,207623.0,35.0,0,89999.99999999997
Улица Академика Янгеля,Варшавское шоссе,11,25,48.0,2,https://www.cian.ru/rent/flat/317601142/,55.5891121,37.602582,658.9138473201482,61479.0,24.0,0,65000.00000000002
Бульвар Рокоссовского,4-я Гражданская ,4,5,31.0,1,https://www.cian.ru/rent/flat/317597472/,55.8082017,37.7169625,1300.5517999854237,70824.0,31.0,0,39999.99999999997
Сетунь,Можайское шоссе,5,9,45.7,2,https://www.cian.ru/rent/flat/317598986/,55.7181244,37.4099876,2560.654908388675,105020.0,22.85,0,77000.0
Домодедовская,Домодедовская ,9,9,44.0,2,https://www.cian.ru/rent/flat/317577034/,55.6024743,37.7152291,950.9738618852537,58610.0,22.0,0,65000.00000000002
Фили,Большая Филевская ,14,16,40.0,2,https://www.cian.ru/rent/flat/317614193/,55.7536763,37.5131224,862.752714174761,129674.0,20.0,0,120000.00000000006
Минская,Минская ,19,22,75.0,2,https://www.cian.ru/rent/flat/317602164/,55.7241647,37.5047097,486.86550059006805,196953.0,37.5,0,198999.9999999999
Савёловская,Вадковский переулок,1,5,60.0,3,https://www.cian.ru/rent/flat/317615380/,55.7892863,37.5955855,584.814057421123,243014.0,20.0,0,89999.99999999997
Сокол,Новопесчаная ,4,7,42.0,1,https://www.cian.ru/rent/flat/317600858/,55.7975054,37.5158922,846.3843702578154,125804.0,42.0,0,67999.99999999994
Улица 1905 года, Сергея Макеева,10,17,45.0,2,https://www.cian.ru/rent/flat/317620565/,55.7621001,37.5503253,760.8217380700955,278657.0,22.5,0,289999.9999999999
Москва-Сити,1-й Красногвардейский проезд,25,78,63.0,2,https://www.cian.ru/rent/flat/317620348/,55.7519171,37.5342124,403.19557792387104,278657.0,31.5,0,230000.0000000002
Нижегородская,Перовское шоссе,16,33,48.0,3,https://www.cian.ru/rent/flat/317621557/,55.7337522,37.7383162,563.7158041121829,69856.0,16.0,0,120000.00000000006
Беговая,Хорошевское шоссе,5,5,25.1,1,https://www.cian.ru/rent/flat/317599516/,55.7780303,37.5361614,817.0269235285224,126602.0,25.1,0,69999.99999999994
Грачёвская,Базовская ,4,18,39.0,1,https://www.cian.ru/rent/flat/317623780/,55.8770413,37.5051933,1457.2686811691822,71608.0,39.0,0,54999.99999999995
Бульвар Рокоссовского,Открытое шоссе,4,5,44.0,2,https://www.cian.ru/rent/flat/317582653/,55.8294949,37.7586913,2251.647870985584,65639.0,22.0,0,54999.99999999995
Динамо,Ленинградский проспект,15,15,75.0,3,https://www.cian.ru/rent/flat/317610511/,55.7902222,37.567177,578.6084202613351,175527.0,25.0,0,219999.99999999985
Нижегородская,Газгольдерная ,12,25,45.0,2,https://www.cian.ru/rent/flat/317594727/,55.7271839,37.735768,621.3765046776147,69856.0,22.5,0,74999.99999999996
Дубровка, Симоновский Вал,3,5,55.0,2,https://www.cian.ru/rent/flat/317603420/,55.7196197,37.660721,966.8900803799368,122875.0,27.5,0,86999.99999999997
Некрасовка, Недорубова,13,17,65.0,2,https://www.cian.ru/rent/flat/317578322/,55.7070152,37.9369158,762.6430551733635,53334.0,32.5,0,60000.00000000002
