underground,street,floor,floors_count,total_meters,rooms_count,url,lat,lon,metro_distance_m,average_price,meters_per_room,is_large_apartment,price_log
Бабушкинская,Анадырский проезд,1,5,58.0,2,https://www.cian.ru/rent/flat/317611741/,55.8656064,37.6850294,1358.8379585151736,55704.0,29.0,0,54999.99999999995
Москва-Сити,1-й Красногвардейский проезд,28,78,52.0,2,https://www.cian.ru/rent/flat/317578381/,55.7519171,37.5342124,403.19557792387104,278657.0,26.0,0,249999.99999999983
Зорге,3-я Хорошевская ,10,22,46.0,2,https://www.cian.ru/rent/flat/317608456/,55.7845489,37.495187,687.3077077841274,102401.0,23.0,0,100000.00000000001
Очаково,Озерная ,3,5,32.0,1,https://www.cian.ru/rent/flat/317617711/,55.678389,37.4552566,919.37584809149,97264.0,32.0,0,56000.00000000001
Новопеределкино,Производственная ,16,18,38.0,2,https://www.cian.ru/rent/flat/317611904/,55.6434402,37.3820192,859.2291078769975,61958.0,19.0,0,69999.99999999994
unknown, Малая Грузинская,8,16,53.0,2,https://www.cian.ru/rent/flat/317601576/,55.7717426,37.5725597,880.9210578919672,278657.0,26.5,0,89999.99999999997
Преображенская площадь,Просторная ,8,9,65.0,3,https://www.cian.ru/rent/flat/317614711/,55.80521,37.7128476,990.1338565363671,70824.0,21.666666666666668,0,79999.99999999994
Красный Строитель,Россошанская ,14,14,38.0,1,https://www.cian.ru/rent/flat/317596782/,55.5923088,37.6088887,607.9815531999725,61479.0,38.0,0,50000.00000000001
Речной вокзал, Ляпидевского,4,17,45.0,1,https://www.cian.ru/rent/flat/317622144/,55.8565649,37.4974528,1350.0059587578,69003.0,45.0,0,50000.00000000001
Улица 1905 года,Ходынская ,2,44,41.6,1,https://www.cian.ru/rent/flat/317579458/,55.7704162,37.5650775,647.9643578755928,278657.0,41.6,0,109999.99999999991
Бульвар Дмитрия Донского,Старобитцевская ,6,22,75.0,2,https://www.cian.ru/rent/flat/317614210/,55.5758778,37.5815706,752.7720920777887,59792.0,37.5,0,60000.00000000002
Сухаревская,переулок Даев,7,9,38.0,1,https://www.cian.ru/rent/flat/317605589/,55.7699829,37.6367409,386.5300688437745,187262.0,38.0,0,79999.99999999994
Текстильщики,Волгоградский проспект,5,7,19.0,1,https://www.cian.ru/rent/flat/317592552/,55.7132585,37.7206908,846.5377228200198,63548.0,19.0,0,32999.99999999998
Медведково,Заревый проезд,5,12,35.0,1,https://www.cian.ru/rent/flat/317602990/,55.8839505,37.6571448,445.5429416520117,57621.0,35.0,0,50000.00000000001
Тропарёво,Ленинский проспект,16,17,54.0,2,https://www.cian.ru/rent/flat/317621201/,55.6456319,37.4764955,252.2612125475057,76364.0,27.0,0,85000.0
Тимирязевская,Тимирязевская ,2,2,75.0,3,https://www.cian.ru/rent/flat/317598388/,55.816805,37.5579394,1166.8693402429724,85298.0,25.0,0,170000.0
Ботанический сад,Сельскохозяйственная ,17,21,63.8,2,https://www.cian.ru/rent/flat/317618773/,55.8472542,37.6307567,540.3475995014471,77731.0,31.9,0,120000.00000000006
Генерала Тюленева, Теплый Стан,12,12,54.0,2,https://www.cian.ru/rent/flat/317610617/,55.6210967,37.4885017,515.3448760784025,76364.0,27.0,0,69999.99999999994
Улица Академика Янгеля,Чертановская ,3,9,34.0,1,https://www.cian.ru/rent/flat/317576319/,55.6026054,37.5877106,1172.9487684786584,61479.0,34.0,0,41999.99999999998
Серпуховская,Мытная ,8,14,111.0,3,https://www.cian.ru/rent/flat/317608197/,55.7221758,37.6186542,702.3844071197434,285242.0,37.0,1,269999.99999999977
Водный стадион,Нарвская ,8,17,36.0,1,https://www.cian.ru/rent/flat/317580488/,55.8314277,37.505426,856.8443834314721,95070.0,36.0,0,54998.99999999998
Орехово, Маршала Захарова,8,22,70.0,2,https://www.cian.ru/rent/flat/317580462/,55.6226717,37.7066204,1287.387434905751,61208.0,35.0,0,109999.99999999991
Улица Академика Янгеля,Чертановская ,2,14,37.0,1,https://www.cian.ru/rent/flat/317608018/,55.5969562,37.5888645,762.4043735958794,61479.0,37.0,0,39999.99999999997
Новогиреево,Свободный проспект,5,14,50.0,2,https://www.cian.ru/rent/flat/317579611/,55.7476964,37.8147319,460.9275071057307,58190.0,25.0,0,54999.99999999995
Электрозаводская,Семеновская набережная,5,9,30.0,1,https://www.cian.ru/rent/flat/317613039/,55.7766307,37.7056677,577.752036161965,183675.0,30.0,0,69999.99999999994
Смоленская,Прямой переулок,3,5,64.4,2,https://www.cian.ru/rent/flat/317622477/,55.7512959,37.5792736,473.5653365465536,415029.0,32.2,0,179999.99999999997
Войковская, Зои и Александра Космодемьянских,2,5,32.5,1,https://www.cian.ru/rent/flat/317614567/,55.8212654,37.5100841,798.3491542718293,95070.0,32.5,0,79999.99999999994
Нахимовский проспект,Сивашская ,5,5,42.0,2,https://www.cian.ru/rent/flat/317614419/,55.6616257,37.599473,397.7258801614561,67293.0,21.0,0,53000.000000000015
Черкизовская,Тагильская ,21,33,31.8,1,https://www.cian.ru/rent/flat/317576954/,55.8162947,37.7582995,1521.187457632824,65639.0,31.8,0,60000.00000000002
Аминьевская,Большая Очаковская ,15,32,41.0,1,https://www.cian.ru/rent/flat/317599954/,55.6924617,37.4666244,549.131880130423,97264.0,41.0,0,85000.0
Проспект Вернадского, Коштоянца,4,5,45.0,2,https://www.cian.ru/rent/flat/317613133/,55.6792261,37.4939189,798.8269464097285,100671.0,22.5,0,60000.00000000002
Волжская,Волжский бульвар,1,5,21.0,1,https://www.cian.ru/rent/flat/317608685/,55.6980834,37.7513095,806.8070278753987,62434.0,21.0,0,39000.00000000002
Сокол,Ленинградский проспект,6,9,58.0,2,https://www.cian.ru/rent/flat/317594314/,55.8062623,37.5124545,220.4160929271896,175527.0,29.0,0,79999.99999999994
Бульвар Рокоссовского,Тюменский проезд,10,23,21.0,1,https://www.cian.ru/rent/flat/317622147/,55.8117355,37.7423914,610.4680642083048,70824.0,21.0,0,54999.99999999995
Гражданская,Астрадамская ,3,5,43.7,2,https://www.cian.ru/rent/flat/317576091/,55.8117122,37.5621304,1114.1152538664735,85298.0,21.85,0,54999.99999999995
Хорошёвская,Хорошевское шоссе,8,9,33.0,1,https://www.cian.ru/rent/flat/317616342/,55.7839388,37.5210955,726.6809808991646,126602.0,33.0,0,69999.99999999994
Братиславская, Перерва,14,25,40.0,1,https://www.cian.ru/rent/flat/317612037/,55.6591978,37.7465234,256.45762963009366,65291.0,40.0,0,60000.00000000002
Владыкино,Алтуфьевское шоссе,15,17,19.0,1,https://www.cian.ru/rent/flat/317593292/,55.848916,37.587149,249.12870223928255,64371.0,19.0,0,44999.999999999985
Новаторская,Ленинский проспект,5,8,58.0,2,https://www.cian.ru/rent/flat/317616487/,55.6775787,37.5245483,850.412787598799,98222.0,29.0,0,74999.99999999996
Верхние Лихоборы,Бескудниковский бульвар,22,22,40.0,1,https://www.cian.ru/rent/flat/317612327/,55.8625985,37.5586877,701.3008736000525,60302.0,40.0,0,79999.99999999994
